method,file,n_episodes,mean_regret,median_regret,std_regret,min_regret,max_regret,success_rate,group,mean_budget_used,median_budget_used,mean_budget_overshoot,median_budget_overshoot,mean_remaining_budget,median_remaining_budget,mean_episode_length,median_episode_length,mean_best_value,median_best_value,mean_best_oracle_value,median_best_oracle_value,mean_ground_truth,median_ground_truth
cost_mean_cost7,results/cost7_mean_test8_epi64.csv,64,0.0009619072079658277,5.7220458984375e-06,0.0022429525502635343,0.0,0.0120770335197448,0.71875,168868,5552.033638000488,5319.990478515625,552.0336129665375,319.9904327392578,-552.0336129665375,-319.9904327392578,17.578125,18.0,0.9984466210007668,1.0,0.9948550155386329,0.9955154657363892,0.9958169227465987,0.9959750771522522
cost_mean_cost7,results/cost7_mean_test8_epi64.csv,64,0.02925039455294606,0.02584770321846005,0.025749607449266704,0.0,0.1094990968704223,0.203125,168908,6231.7188720703125,6134.93701171875,1231.7188439369202,1134.9370727539062,-1231.7188439369202,-1134.9370727539062,3.578125,4.0,0.783827131614089,0.7844049334526062,0.7820782512426376,0.7862440943717957,0.8113286457955837,0.8129446506500244
cost_mean_cost7,results/cost7_mean_test8_epi64.csv,64,0.03196759149432179,0.0207278728485107,0.053541974010695395,0.0,0.4050595164299011,0.25,168910,5396.786758422852,5394.82373046875,396.78676867485046,394.8236541748047,-396.78676867485046,-394.8236541748047,8.375,8.0,0.6650242861360312,0.6653085947036743,0.662672477774322,0.6640803217887878,0.6946400692686439,0.6871238350868225
cost_mean_cost7,results/cost7_mean_test8_epi64.csv,64,0.0293500171974301,0.02164015173912045,0.031027556867713482,0.0,0.109591543674469,0.3125,189354,8100.457550048828,6850.3798828125,3100.4575057029724,1850.380126953125,-3100.4575057029724,-1850.380126953125,4.390625,4.5,0.6961139049381018,0.6890242099761963,0.6941551147028804,0.691059023141861,0.7235051319003105,0.715238481760025
cost_mean_cost7,results/cost7_mean_test8_epi64.csv,64,0.010029016062617278,0.0,0.014714509181601242,0.0,0.0540458559989929,0.546875,189862,4595.562450408936,4685.96826171875,61.421507477760315,0.0,404.4375339746475,314.03172302246094,29.140625,30.0,0.8557808389887214,0.8536324203014374,0.8542896080762148,0.8529432117938995,0.8643186241388321,0.8664016723632812
cost_mean_cost7,results/cost7_mean_test8_epi64.csv,64,0.006914552301168409,0.0027855038642882997,0.009710028548365932,0.0,0.0398391485214233,0.359375,189865,3970.4469680786133,3956.629150390625,23.76970338821411,0.0,1029.553037405014,1043.370849609375,29.796875,30.0,0.9464626032859087,0.9470672309398651,0.9416413921862841,0.9402225315570831,0.9485559444874525,0.9472154080867767
cost_unc_cost7,results/cost7_unc_test8_epi64.csv,64,0.06053804513067004,0.05289325118064875,0.061052022452309396,0.0,0.2645632028579712,0.28125,168331,5614.431076049805,5175.716064453125,632.8140474557877,175.7161102294922,-614.4310537576675,-175.7161102294922,20.28125,21.0,0.5582490172237158,0.5469631552696228,0.5576479891315103,0.5440850853919983,0.6181860342621803,0.619345098733902
cost_unc_cost7,results/cost7_unc_test8_epi64.csv,64,0.013751596212387057,0.00383579730987545,0.018786033390080923,0.0,0.079191505908966,0.421875,168335,7058.454605102539,5505.91357421875,2058.4546035528183,505.91351318359375,-2058.4546035528183,-505.91351318359375,12.71875,14.0,0.9236297570168972,0.9244610369205475,0.9201824134215713,0.9256385862827301,0.9339340096339583,0.935064822435379
cost_unc_cost7,results/cost7_unc_test8_epi64.csv,64,0.0007851943373679863,2.467632293701172e-05,0.0011794102400229,0.0,0.004147469997406,0.71875,168868,5493.551445007324,5205.26708984375,493.55144214630127,205.2670135498047,-493.55144214630127,-205.2670135498047,17.65625,18.0,0.9982328694313765,1.0,0.9947710055857897,0.9951016008853912,0.9955561999231577,0.9956427216529846
cost_unc_cost7,results/cost7_unc_test8_epi64.csv,64,0.04302859306335445,0.04164609313011165,0.033703781845727726,0.0,0.1119560599327087,0.1875,168908,6039.973091125488,5768.12158203125,1039.973058462143,768.12158203125,-1039.973058462143,-768.12158203125,3.21875,3.0,0.7712281495332718,0.7752669751644135,0.7690116688609123,0.7703732252120972,0.8120402619242668,0.8117477297782898
