episode_index,lane,step_count,action_mode,return,episode_length,regret,best_value,best_oracle_value,ground_truth,budget_used,remaining_budget,budget_overshoot
19,18,13,argmax,27.63102149963379,13,0.0,0.987634003162384,0.9946954846382141,0.9946954846382141,5264.37353515625,-264.37359619140625,264.37359619140625
20,87,13,argmax,4.638133525848389,13,0.009675741195678711,0.9993778467178345,0.9844204783439636,0.9940962195396423,6576.18310546875,-1576.18310546875,1576.18310546875
21,91,13,argmax,4.893218994140625,13,0.007497251033782959,0.983803927898407,0.9873614311218262,0.9948586821556091,5225.8896484375,-225.88946533203125,225.88946533203125
22,94,13,argmax,4.875832557678223,13,0.007628738880157471,0.9698527455329895,0.9827882647514343,0.9904170036315918,5342.68994140625,-342.6899108886719,342.6899108886719
23,99,13,argmax,6.909796714782715,13,0.0009979605674743652,0.9797418713569641,0.9942479133605957,0.9952458739280701,5311.92138671875,-311.9212646484375,311.9212646484375
24,129,13,argmax,4.981619834899902,13,0.006862938404083252,0.9911623597145081,0.9877946376800537,0.994657576084137,5295.98681640625,-295.9866638183594,295.9866638183594
25,134,13,argmax,4.894443988800049,13,0.007488071918487549,1.0,0.9876477122306824,0.9951357841491699,6333.35107421875,-1333.35107421875,1333.35107421875
26,140,13,argmax,4.757519245147705,13,0.008586883544921875,0.9979718923568726,0.986476719379425,0.9950636029243469,5063.19921875,-63.19914245605469,63.19914245605469
27,143,13,argmax,4.115466594696045,13,0.016318321228027344,0.9854962229728699,0.9784340858459473,0.9947524070739746,5147.35009765625,-147.34991455078125,147.34991455078125
28,169,13,argmax,27.63102149963379,13,0.0,0.9843012094497681,0.9926031231880188,0.9926031231880188,5151.0498046875,-151.04995727539062,151.04995727539062
29,173,13,argmax,7.438277244567871,13,0.0005882978439331055,0.9898496270179749,0.9946765899658203,0.9952648878097534,5358.8671875,-358.8673095703125,358.8673095703125
30,203,13,argmax,6.762710094451904,13,0.0011560916900634766,1.0,0.9930728077888489,0.9942288994789124,5403.5908203125,-403.59088134765625,403.59088134765625
31,221,13,argmax,27.63102149963379,13,0.0,1.0,0.9953218102455139,0.9953218102455139,5041.76513671875,-41.765037536621094,41.765037536621094
32,8,14,argmax,7.198694229125977,14,0.0007475614547729492,1.0,0.9943578839302063,0.9951054453849792,5177.05908203125,-177.05917358398438,177.05917358398438
33,35,14,argmax,5.921603679656982,14,0.0026808977127075195,0.994018018245697,0.9912750124931335,0.9939559102058411,5660.90966796875,-660.9095458984375,660.9095458984375
34,36,14,argmax,6.6480255126953125,14,0.0012965798377990723,0.9983273148536682,0.9932092428207397,0.9945058226585388,5207.73486328125,-207.73492431640625,207.73492431640625
35,107,14,argmax,4.350888729095459,14,0.012895345687866211,0.9859895706176758,0.9808406829833984,0.9937360286712646,5012.2421875,-12.2423095703125,12.2423095703125
36,111,14,argmax,5.654060363769531,14,0.003503262996673584,0.9913223385810852,0.9889408946037292,0.9924441576004028,6640.08203125,-1640.081787109375,1640.081787109375
37,118,14,argmax,4.803062915802002,14,0.00820457935333252,0.9960572719573975,0.9856755137443542,0.9938800930976868,5103.15625,-103.156494140625,103.156494140625
38,121,14,argmax,3.986820936203003,14,0.018558621406555176,0.991888701915741,0.9733859300613403,0.9919445514678955,5113.11279296875,-113.11294555664062,113.11294555664062
39,126,14,argmax,27.63102149963379,14,0.0,0.9856045842170715,0.992652416229248,0.992652416229248,5061.30126953125,-61.3013916015625,61.3013916015625
